S_no,Search_Queries,Type
1,Canada Elections,Query
2,Liberals,Query
3,Trudeau,Query
4,Scheer,Query
5,Conservative,Query
6,Justin Trudeau,Query
7,Andrew Scheer,Query
8,Jagmeet Singh,Query
9,NDP,Query
10,Elections,Query
11,Greens,Query
12,Democrats,Query
13,Public Affairs,Query
14,Government,Query
15,cdnpoli,Hashtags
16,SenCA,Hashtags
17,canpoli,Hashtags
18,lpc,Hashtags
19,ptlib,Hashtags
20,ndp,Hashtags
21,cpc,Hashtags
22,roft,Hashtags
23,pttory,Hashtags
24,ptndp,Hashtags
25,ptbloc,Hashtags
26,cdnleft,Hashtags
27,gpc,Hashtags
28,cdnsen,Hashtags
29,cpac,Hashtags
30,crtc,Hashtags
31,CdesCom,Hashtags
32,goc,Hashtags
33,trudeaumustgo,Hashtags
34,lavscam,Hashtags
35,elxn43,Hashtags
36,snclavalin,Hashtags
37,standwithtrudeau,Hashtags
38,jagmeetsingh,Hashtags
39,bernier,Hashtags
